Marque,Ingr,Rating,Reference
Etat Libre dOrange," RICINUS COMMUNIS (CASTOR) SEED OIL, STEARETH-100, GLYCERYL STEARATE, LIMONENE, 60730), CI 77163 (BISMUTH OXYCHLORIDE), 17200 (RED 33), BUTYL METHOXYDIBENZOYLMETHANE,GERANIOL, B28669/1), SODIUM COCOAMPHOACETATE",2.9,Hermann a Mes Cotes Me Paraissait Une Ombre Eau de Parfum mixte
Ted Lapidus," DIMETHICONE, CI 42090 (FD&C BLUE NO, BUTYLPHENYL METHYLPROPIONAL, CETYL PEG PPG-10 1 DIMETHICONE,2-HEXANEDIOL, CI 19140 / YELLOW 5, ORANGE 4 (CI 15510), HYDROXYISOHEXYL 3-CYCLOHEXENE CARBOXALDEHYD, POLYQUATERNIUM-7, ALUMINUM CHLOROHYDRATE, C251806/1), AGAR, PARFUM/FRAGRANCE ·AQUA/WATER/EAU, CITRIC ACID – BHT, CI 42090 / BLUE 1,ETHYL ALCOHOL DENAT,#13380 ALCOHOL, CI 42090 (BLUE 1), ALPHA-ISOMETHYL IONONE",3.6,Oud Blanc Eau de Parfum mixte
Lancome," 
CINNAMAL, SODIUM PHOSPHATE, ALPHA-ISOMETHYL IONONE, SODIUM COCOAMPHOACETATE, CI17200, 4 (CI 14700), LYCIUM BARBARUM (GOJI BERRY / BAIES DE GOJI) FRUIT EXTRACT,CI19140 (YELLOW 5), DILAURYL THIODIPROPIONATE,COUMARIN",3.9,La Nuit Tresor Intense Eau de Parfum pour femme
Guess," ALCOHOL DENAT, TOCOPHEROL,  ,#13380 ALCOHOL, HYDROGEN PEROXIDE,DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, ACRYLATES COPOLYMER, SACCHAROMYCES SILICON FERMENT, DIETHYLHEXYL ADIPATE, URIAGE THERMAL SPRING WATER, 
EUGENOL, DISTEARDIMONIUM HECTORITE,PROPYLENE GLYCOL, VIOLET 2 (F, BENZOATE, EXT, GREEN 5(CI 61570)",5.0,Seductive Noir Eau de Toilette pour femme
Pitbull," CI 42090 (BLUE 1), PARFUM (FRAGRANCE) –, SODIUM HYALURONATE, PPG-15 STEARYL ETHER,HYDROXYCITRONELLAL, B, EVERNIA FURFURACEA EXTRACT / TREEMOSS EXTRACT, SYNTHETIC FLUORPHLOGOPITE, PIPERONYL GLUCOSIDE, COVABSORB, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE –, CI 47005 (D&C YELLOW NO,AQUA / WATER",4.9,Pitubull Woman Eau de Parfum pour femme
Escada," BENZYLALCOHOL, CITRONELLYL METHYCROTONATE, CI 77891 / TITANIUM DIOXIDE, 1), SODIUM OLIVAMPHOACETATE, PARFUM/FRAGRANCE ·AQUA/WATER/EAU,C YELLOW NO,YELLOW 5 8CI19140), D&C VIOLET NO, 33 (CI 17200),ALCOOL DENAT, HYDROGENATED LECITHIN, TRIHYDROXYSTEARIN,METHYL 2-OCTYNOATE,AQUA/WATER/EAU, ALCOHOL ·TRIS(TETRAMETHYLHYDROXYPIPERIDINOL)CITRATE, MARIS SAL/SEA SALT/SEL MARIN, AQUA(WATER)",4.5,Fairy Love Eau de Toilette pour femme
Givenchy," BENZOATE, HYDROGENATED MICROCRYSTALLINE WAX, ANISE ALCOHOL BHT, TRIS(TETRAMETHYLHYDROXYPIPERIDINOL) CITRATE (F, ETHYL HEXYL METHOXYCINNAMATE, VP/VA COPOLYMER,DIENTS FIGURANT SUR SON EMBALLAGE AFIN DE VOUS ASSURER QUE LES INGR&EACUTE, BUTYLENE GLYCOL, PROPANE, CI 42090 (FD&C BLUE NO, CI 14700 (RED 4) CI 17200 (RED 33) CI 60730 (EXT, POLYGLYCERYL-10 DECAISOSTEARATE, CYCLOPENTASILOXANE",4.0,Hot Couture Eau de Parfum pour femme
Armaf," RED 7 LAKE), RED 33 (CI 17200), 78,LES LISTES D'INGR&EACUTE, SUCROSE ACETATE ISOBUTYRATE, ALPHA-ISOMETHYL IONONE – CITRAL – CITRONELLOL – COUMARIN – GERANIOL – LIMONENE – LINALOOL, DIHYDROXYACETONE, B205877/1), HYDROLYZED COLLAGEN, OCTYLDODECYL PCA, CI 14700 (RED 4)",2.9,Tag Him huile parfumee pour homme
Jeanne Arthes," DISCLAIMER:L’ORÉAL STELLT IHNEN DIE NACHSTEHENDEN INHALTSSTOFFLISTEN AUF IHREN WUNSCH ZUR VERFÜGUNG, METHYL ANTHRANILATE,B, CALCIUM LACTATE, HYDROGENATED STYRENE/METHYLSTYRENE/INDENE COPOLYMER,DIENTS SONT ADAPT&EACUTE, AQUA(WATER), CERATONIA SILIQUA GUM, TRIDECETH-2 CARBOXAMIDE MEA,L ETHYLHEXYL METHOXYCINNAMATE LIMONENE,#13877 ALCOHOL, CI 14700",4.5,Sweet Sixteen Coral Eau de Parfum pour femme
Banana Republic," 60730), TOCOPHERYL ACETATE, CERATONIA SILIQUA GUM, ALPHA-ISOMETHYLIONONE, C241615/1), B229660/1), OCTYLDODECANOL, B228531/1),#09158/A ALCOHOL, CETTE LISTE D'INGR&EACUTE, DISODIUM EDTA, ETHYLHEXYL METHOXYCINNAMATE, FRAGRANCE (PARFUM), TOCOPHEROL, (SD ALCOHOL 39-C) –",4.9,Icon Collection 90 Pure White Eau de Parfum mixte
